Time [Sec],Roll Angle [Deg],Pitch Angle [Deg],Phase Angle,Angular Velocity X [deg/s],Angular Velocity Y [deg/s],Angular Velocity Z [deg/s],EKF Roll Angle [Deg]
0.0,0,0,0.0,0.0,0.0,0.0,0.0
0.0,-105.68634796142578,0.6104443073272705,-3.141479387660072,1.0879957739301405,-1.9505101413286465,0.6858684399064927,-104.65010670872178
0.009588,-105.6890640258789,0.641653299331665,-3.141319827999858,-1.3879800301546277,-1.268835811098512,1.6521055797931363,-102.97045791185295
0.019799,-105.74813079833984,0.6628026962280273,-3.1413055263787384,-1.6981986845201444,-1.1336406474928664,1.7396813048356878,-104.76312000150502
0.028769,-105.76270294189453,0.6806938648223877,-3.141321617069907,-1.1473011325545976,-0.5903417877006646,1.6424153556298866,-99.0032513911486
0.038539,-105.76944732666016,0.6954600811004639,-3.1413435417224598,-1.2307787440951414,-0.9608156238720932,1.5096535536377638,-104.93408586123441
0.048741,-105.77831268310547,0.7191883325576782,-3.14131352530662,-0.8416073717925087,-2.800207018419389,1.6916991191946424,-104.79623372437003
0.059785,-105.76002502441406,0.757901668548584,-3.1412594962072733,1.3599443447675468,-4.522931204701757,2.0188015743016074,-99.52000200292069
0.069392,-105.71922302246094,0.8130537271499634,-3.141129118990218,1.754408900233528,-7.33173849850325,2.8077522430181374,-104.21264330944342
0.079915,-105.6931381225586,0.8879567980766296,-3.1410532884732376,2.0221099471808324,-10.200591265958794,3.2662718066243794,-104.72866289245346
0.089842,-105.66606140136719,0.9641439914703369,-3.1411002443347367,2.1787347225856872,-12.782937234526168,2.981153884015248,-104.63270980006786
0.099733,-105.68836212158203,1.0369374752044678,-3.141160290654894,-2.727380766724363,-15.734604338120825,2.6181726586416176,-101.72042566099773
0.108857,-105.7673110961914,1.104962706565857,-3.1413782721620533,-3.429652919778846,-18.443440287474957,1.2991558745978449,-100.85756040011653
0.119352,-105.77848052978516,1.1477347612380981,3.141517530366183,-0.905704961893376,-19.10556565580516,-0.45529635464823026,-104.65403573265651
0.129472,-105.77887725830078,1.1634951829910278,3.141298265077834,-3.0273756951194284,-17.64048324864826,-1.784195568647365,-103.47540126445993
0.139846,-105.82395935058594,1.1568924188613892,3.141054742060247,-2.793569355206606,-15.2404179535556,-3.261501132932537,-104.57045502208733
0.148863,-105.84982299804688,1.130695104598999,3.1408229652461928,-3.2204566052192263,-14.584612217754948,-4.667966856632392,-79.97282119314174
0.159875,-105.88984680175781,1.105307698249817,3.140704127001901,-4.045629474651626,-15.441505552909945,-5.3907289368666795,-96.27335771756229
0.169695,-105.92648315429688,1.0921826362609863,3.140636713708478,-3.3876683872810123,-17.44076680976979,-5.801735143285374,-105.19538393939932
0.179793,-105.94195556640625,1.0831071138381958,3.140529495385819,-2.831627382705329,-19.003881214536598,-6.453401357562174,-105.02950776638268
0.190163,-105.94766998291016,1.0635250806808472,3.140411427389497,-1.7577290125003888,-18.95669143756098,-7.170464925594555,-103.14977866896409
0.199847,-105.92926788330078,1.0282940864562988,3.1403124960097624,0.1909999568989787,-17.238915936775697,-7.769664614875079,-100.2505970699429
0.208987,-105.8935317993164,0.9673203229904175,3.140071481851671,1.1328407683080344,-14.432643923816748,-9.229340073530274,-104.28903208081906
0.218973,-105.85626220703125,0.8679795265197754,3.1398325358345454,2.391708772086559,-9.923563915864955,-10.675331248183348,-104.82683801886894
0.229921,-105.8104476928711,0.7432444095611572,3.1396786440212425,3.028132778900242,-5.962286850576163,-11.603682022435017,-103.89053388244065
0.240201,-105.79280853271484,0.6213527917861938,3.1396971174808415,0.8556628338873371,-4.579941939930207,-11.489770688778483,-37.433717285591904
0.249881,-105.8080062866211,0.49857082962989807,3.139432584424305,0.3656606872406853,-3.9443928376605206,-13.095120422051709,-104.07879225775537
0.258985,-105.8132095336914,0.3619033992290497,3.1393987451828895,-0.32857486780120526,-5.007554470655318,-13.300920851933363,-95.12691711091635
0.269645,-105.81910705566406,0.2436455488204956,3.1393477506022176,-0.21105293873488656,-6.1919523883046645,-13.610843246843631,-105.06226604950815
0.279193,-105.81389617919922,0.1323794275522232,3.13942803621687,0.08355245013672305,-7.199406144655192,-13.123423872198595,-104.88107961577583
0.288443,-105.79227447509766,0.033761631697416306,3.1394956467838937,1.5321717268359438,-7.643474308638155,-12.710922281238492,-104.78297541885186
0.298857,-105.74051666259766,-0.06433697789907455,3.139565159097293,3.367849526187163,-7.108136461210427,-12.283562467512672,-104.71823582361844
0.309889,-105.67930603027344,-0.16654415428638458,3.139552721997214,3.9056840211999426,-6.725154947843118,-12.351758491280664,-87.58823980719558
0.318508,-105.62097930908203,-0.2740214169025421,3.1395642394453245,4.889830183894624,-6.012766644297611,-12.275241589556304,-86.16024840847416
0.328876,-105.55603790283203,-0.37558797001838684,3.139606287914507,5.0816504972057315,-6.930572887131252,-12.013387504703648,-99.94591080527789
0.339117,-105.49651336669922,-0.46111616492271423,3.1396290339932316,5.341957117324557,-9.803909246890086,-11.869123664149223,-104.627328776789
0.34889500000000007,-105.42510986328125,-0.5338467359542847,3.13968182091103,6.475459026599908,-11.602832517656998,-11.542234225566999,-102.34614528316676
0.358947,-105.35025024414062,-0.5991073250770569,3.1397844948224973,5.947187009868557,-12.285421986514208,-10.91428370874895,-104.37891172233107
0.368596,-105.30068969726562,-0.6532620191574097,3.139911522980747,5.081609089183888,-13.390802726316146,-10.14274980897254,-102.8261744150634
0.378974,-105.26095581054688,-0.6957810521125793,3.1400039701460485,4.454127720984457,-14.620067729736483,-9.581371438447317,-104.30123142127816
0.389022,-105.22879028320312,-0.726702094078064,3.140280630604118,3.433056915306451,-13.454835749785016,-7.910408346686009,-104.21446387533842
0.398788,-105.2187728881836,-0.7392091751098633,3.140565694362673,1.556760728013107,-12.347450349461678,-6.191119958999569,-96.35961425334273
0.408927,-105.23129272460938,-0.7388607859611511,3.140813170100521,0.12015798187954692,-11.308276340831966,-4.699747726840462,-100.89042573102242
0.418901,-105.24797058105469,-0.7289016246795654,3.1410670854598415,-0.7795808231140362,-9.796883543555081,-3.1693151369219326,-99.45023848134437
0.428668,-105.28044891357422,-0.7060237526893616,3.1412582245224865,-2.926288255073005,-10.353481635434944,-2.0173181425912454,-104.47546672640685
0.43893,-105.3371353149414,-0.6611462831497192,3.1414315747523043,-4.080697800284588,-13.617928714333873,-0.9721709200889452,-104.36770157014628
0.448927,-105.37814331054688,-0.5921333432197571,3.141568381141995,-3.4914020987439924,-16.856678060254275,-0.1465503130801522,-104.38283679476663
0.459049,-105.39291381835938,-0.5091273188591003,-3.14151138973704,-2.657735248748447,-20.172593175870187,0.49071739551879906,-103.36274768775273
0.46910599999999997,-105.3913803100586,-0.4196591377258301,-3.141496164488762,-1.3367757027726288,-22.551635148697546,0.5826476329614981,-3.397464511747634
0.478049,-105.38129425048828,-0.3442367911338806,-3.14156754581981,-1.0656596679620236,-21.6270597615096,0.1515982897842544,-104.8648656592852
0.489048,-105.37110900878906,-0.29078802466392517,-3.14139684365443,-0.13961336218371834,-14.835346754638824,1.1821672205551028,-92.27481006815856
0.498803,-105.36515808105469,-0.2519374489784241,-3.141415154055013,-1.3110550246273591,-10.676120135032484,1.0715609514049147,-46.827015562855486
0.509065,-105.38578033447266,-0.24107563495635986,3.1414968328145134,-1.8872455141414035,-8.279321377910383,-0.5785812158061076,-70.83658345890805
0.51901,-105.39118194580078,-0.264803946018219,3.1412923255053165,-0.9956067932351399,-4.174782802327867,-1.8135221597875784,-105.00071189691539
0.528084,-105.38491821289062,-0.30832645297050476,3.141113344435043,-1.3520358394823182,-1.3108840564546973,-2.8941221195070645,-103.42020550041737
0.538383,-105.3991470336914,-0.3592105507850647,3.1410086477878556,-2.194710535054347,0.6074919658197435,-3.5267683913794956,-104.13017359660331
0.549056,-105.41507720947266,-0.4102741777896881,3.1409349265377036,-1.9223140532177763,1.33305026146721,-3.9725660873263537,-102.75355882755727
0.559013,-105.41476440429688,-0.45891332626342773,3.1409231883897255,-1.4439020972624013,1.7923803764288617,-4.043450644306392,-103.79119709872968
0.568937,-105.41413116455078,-0.5104029178619385,3.140863492325959,-1.6685084925283336,2.9229053904431446,-4.403977910777284,-104.0503239842624
0.578065,-105.42910766601562,-0.5653268098831177,3.1409687373503696,-2.587147804997304,4.590923176568295,-3.7688556953307235,-103.6185493611594
0.589054,-105.44792938232422,-0.6158900856971741,3.1410018240162056,-2.3546014215429376,6.488201171383389,-3.5696280418647373,-104.42440451733476
0.598261,-105.44859313964844,-0.678117036819458,3.141004438475219,-1.7691687255865138,8.87887367570681,-3.5538545737502387,-104.28175217019732
0.608982,-105.44979095458984,-0.7475359439849854,3.140999746655452,-2.2541545251746142,10.220472239085408,-3.5822421206012813,-95.98685574961966
0.618977,-105.46479034423828,-0.815261721611023,3.141012818846942,-2.6237539904105756,10.879927857223786,-3.5037604722734845,-101.79322360846929
0.628959,-105.465576171875,-0.8594032526016235,3.1412092578611146,-1.3226450018752245,7.716803219567413,-2.3167579046728357,-104.13919275023471
0.638771,-105.45258331298828,-0.8768751621246338,3.1410492302625768,-1.5075294715275955,2.3228088119472323,-3.2833575248331663,-104.44233957148275
0.648747,-105.46297454833984,-0.9035452604293823,3.14096286564932,-2.29859344346201,-1.4191853502034177,-3.805546617778386,-104.46921115176339
0.65901,-105.47149658203125,-0.9214047789573669,3.1410665498375168,-1.5620856075230725,-2.199854521273013,-3.17928294424192,-102.343809579793
0.669,-105.46055603027344,-0.9335795044898987,3.141101063331608,-1.2417498421711801,-2.1228654827222755,-2.9704072216864676,-104.48072353145628
0.679056,-105.4575424194336,-0.9525206089019775,3.1410340660961604,-1.660995177719614,-3.1665606496957133,-3.375137978361801,-63.06903920104458
0.68902,-105.45526123046875,-0.9719417095184326,3.1409710503490227,-0.9938567707037357,-5.196964154076234,-3.7558151566578766,-104.85221894472984
0.69899,-105.4358901977539,-0.9876567721366882,3.1409516978690695,-0.3990965709815869,-5.7630152277673945,-3.8720342404802284,-3.771657740068344
0.708189,-105.4226303100586,-1.0043829679489136,3.140904078566097,-1.0013914298536117,-6.802741201059408,-4.159180942716265,-105.14099066868604
0.719004,-105.411865234375,-1.020330548286438,3.140903209555,-0.08010532569976901,-7.20220139957302,-4.164004763817586,-102.46834605780278
0.729027,-105.36542510986328,-1.0248596668243408,3.1409904787637415,1.9654193770697266,-9.152433851023222,-3.63532635083062,-100.20638674419519
0.738218,-105.3110580444336,-1.0105634927749634,3.1410414710887737,1.6855736134479047,-11.523021757205399,-3.3257689441541256,-102.6662758396263
0.74898,-105.29157257080078,-0.9934752583503723,3.1410919917522824,0.526554384237651,-11.626264335378371,-3.020374324333342,-103.98591177347308
0.759017,-105.2970199584961,-0.9811210632324219,3.141134758899927,-1.1201513440472084,-11.014877027297606,-2.7625131253807926,-101.13360746356456
0.769004,-105.32199096679688,-0.9674962162971497,3.141194137674143,-2.573957855936363,-11.038656330893005,-2.4048466409550784,-104.42072697847048
0.779049,-105.3597640991211,-0.9490350484848022,3.141295690335534,-4.031007747185922,-9.750609011928246,-1.7926691653647064,-103.92485772835471
0.789047,-105.40422821044922,-0.9352805614471436,3.1414068524191654,-4.748348791653334,-6.175452358817206,-1.122093679092431,-83.94678210080461
0.798973,-105.43885040283203,-0.9323568940162659,3.141552121532801,-4.605553868657285,-1.3481086941529725,-0.24486230842538356,-104.87558372352325
0.808059,-105.46979522705078,-0.9391810894012451,-3.141531419462042,-5.20037924866124,3.763210543981708,0.37003625049729827,-104.46233953357336
0.819025,-105.50888061523438,-0.9521465301513672,-3.141419473897059,-5.3336315436131345,7.054103261573279,1.0469082373693999,-104.51341693368222
0.828918,-105.54291534423828,-0.9607880711555481,-3.14138901952729,-5.275062244593452,8.1057799314787,1.2314085088809579,-104.52488861896049
0.8391279999999999,-105.56515502929688,-0.9685925245285034,-3.14145556105341,-4.225688629098795,6.899120719776989,0.829195690770979,-104.56867083409337
0.84901,-105.568115234375,-0.9788461327552795,-3.1414994102505167,-3.25424427038281,7.159843127661539,0.5639923586257835,-95.13746579150359
0.859138,-105.5672378540039,-0.9952991008758545,-3.1415566365610514,-2.8269303469904754,7.490081066484363,0.217851058032312,-17.553220753581023
0.869027,-105.57258605957031,-1.0171198844909668,3.141513841114829,-2.8847519537394533,6.861063332608501,-0.47672591308658663,-104.47865911148654
0.879028,-105.58306121826172,-1.0499067306518555,3.14131911128767,-2.8735679458603807,6.604505205683544,-1.6547842946082507,-104.8188580049964
0.889027,-105.59007263183594,-1.1022146940231323,3.141131767790569,-2.613657903600239,7.832189874084669,-2.7882973029410025,-103.89174712221534
0.899006,-105.59600830078125,-1.178230881690979,3.140833724006931,-2.7999299688711807,8.910933729897204,-4.591680900679343,-104.60580995354418
0.90906,-105.60270690917969,-1.2780020236968994,3.140570729790686,-2.438271452319005,9.804856081863779,-6.183243470226075,-104.6102325735327
0.918986,-105.60272979736328,-1.3919674158096313,3.1403521925627063,-2.3515493942009997,11.34229068289863,-7.505525831745055,-94.72752092700642
0.929108,-105.6084213256836,-1.5213677883148193,3.1401582601387843,-2.706719444485074,13.20198300048479,-8.679401416091173,-103.81395651589925
0.938633,-105.6207275390625,-1.6706055402755737,3.1399263444711316,-3.0078462632916576,15.667104993648174,-10.083882116063494,-101.085966912721
0.949088,-105.63706970214844,-1.8518328666687012,3.1395672385513205,-3.5799392796339293,18.25856755721022,-12.258959272348639,-104.5816283027275
0.959213,-105.64035034179688,-2.051882266998291,3.1393647816724024,-2.0456431505226997,17.965893951275174,-13.484765638728012,-104.0649222714434
0.969054,-105.62673950195312,-2.252389430999756,3.139047309832143,-2.397461712358414,17.636444899301488,-15.404368106845293,-99.38390354129746
0.979032,-105.62657165527344,-2.480869770050049,3.138719856574683,-1.9313866788696687,18.530282727677083,-17.38609114546384,-85.67410591776513
0.989054,-105.62577819824219,-2.729351282119751,3.1384306258914805,-2.7767521488095652,18.31674027837122,-19.136374931603797,-101.30192378429543
0.998394,-105.63383483886719,-2.986595392227173,3.138152889092228,-2.3223306987053314,17.511778579023122,-20.818819571359896,-104.17798884156853
1.008904,-105.6286849975586,-3.2536697387695312,3.1378584642806224,-2.224680124471894,15.782799860451727,-22.59970943517068,-104.6933739710004
1.019087,-105.61991882324219,-3.5299487113952637,3.1375945127902245,-1.4058466310846174,14.236340018202352,-24.195180153583127,-104.48241258727455
1.028964,-105.59230041503906,-3.8169679641723633,3.137306596377093,-0.16509863892646065,12.663728235394643,-25.930775617912975,-102.87892186158375
1.039158,-105.55595397949219,-4.112498760223389,3.137078510768028,0.4251050242064963,10.649653151998685,-27.30131796167315,-97.32597842508794
1.048257,-105.52605438232422,-4.413825511932373,3.1368214162971473,0.5848889488654672,9.207478345544356,-28.848062110546724,-104.13923648754609
1.059192,-105.50314331054688,-4.730587959289551,3.1365571051151093,0.3965676667609632,8.2427149790537,-30.43956790414598,-38.98643838588025
1.0692,-105.48303985595703,-5.058539390563965,3.1363398266637876,0.5554339181523459,7.3053978739690955,-31.746975394313143,-105.08693188151574
1.079134,-105.46275329589844,-5.391334533691406,3.1361786356813326,0.2939440478010952,6.830807302132637,-32.714905407257746,-104.4066555935214
1.088442,-105.44510650634766,-5.731171131134033,3.136095133010799,0.26848011539950917,8.596797962042686,-33.213932688397215,-104.27299322400944
1.098952,-105.42086029052734,-6.082984447479248,3.1360045335577635,0.2950966155431084,10.627757273066916,-33.75354836867949,-104.14346437174106
