Time [Sec],Roll Angle [Deg],Pitch Angle [Deg],Phase Angle,Angular Velocity X [deg/s],Angular Velocity Y [deg/s],Angular Velocity Z [deg/s],EKF Roll Angle [Deg]
0.0,0,0,0.0,0.0,0.0,0.0,0.0
0.0,-96.40763092041016,11.698651313781738,-3.1241494241699344,38.51123274826776,-39.88220539394565,96.36181828234646,-95.462366312803
0.009969,-95.45999145507812,13.665254592895508,-3.1249136686030137,39.17812900373322,-56.71116654654801,91.2334117251774,-37.48130136267866
0.020964,-95.2767333984375,13.543022155761719,-3.1257401940473395,41.025012155304665,-72.83046421419688,86.54510840717813,-93.71703298238779
0.030969,-94.59574890136719,14.393645286560059,-3.126640891479941,43.12516213639477,-86.19763619353206,81.04365057792131,-93.85792053186599
0.040964,-93.89327239990234,15.165007591247559,-3.127691307726584,41.842749723495274,-93.76274005785986,74.78972446818254,-92.78310542709424
0.049966,-93.2741470336914,15.852678298950195,-3.1287601136747676,35.96080254614456,-96.14698151219288,68.58361651282303,-88.99570183441801
0.059946,-92.75525665283203,16.463178634643555,-3.129890210793744,31.117453933985992,-93.7699937187584,62.19529277078591,-90.97354786393434
0.06998099999999999,-92.2620620727539,16.98782730102539,-3.131129078952883,29.552135085664563,-87.19248056690111,55.3148470688602,-91.17273953742155
0.080993,-91.79881286621094,17.430709838867188,-3.132254913337596,26.52780928345296,-77.52731209884784,49.11499556678042,-90.33636033611519
0.091027,-91.45125579833984,17.8080997467041,-3.133378680230131,20.89688692602585,-64.20125102812696,43.04030728124112,-90.58473245948227
0.100945,-91.25322723388672,18.123767852783203,-3.134388785164866,14.174389348656689,-49.04263312761872,37.665535800709705,-55.08456185202728
0.109982,-91.19635772705078,18.38764762878418,-3.1353716355393426,6.535580912995298,-33.81689495813677,32.50627386396512,-90.66455212358363
0.120996,-91.27275848388672,18.584177017211914,-3.1365896762811394,-0.8806685833255768,-18.707210240389802,26.163507483691987,-76.55704073958991
0.130062,-91.45838165283203,18.690322875976562,-3.1379858143708628,-7.778137464540481,-5.9817554510316375,18.90056606560369,-4.343523734219644
0.14101,-91.78527069091797,18.707752227783203,-3.13939833256399,-19.02354362160977,6.435782457711303,11.539752305577345,-89.73706876294716
0.149979,-92.26609802246094,18.63632583618164,-3.1409592441254377,-27.816169083572245,13.605336406825309,3.348492983522758,-1.031724730134446
0.160044,-92.71979522705078,18.466598510742188,3.1405912775292335,-28.44133288320893,16.82024924631601,-5.319764978937539,-92.50512938197006
0.171135,-93.08564758300781,18.2082576751709,3.139068202738462,-28.368620396852265,20.041357921157562,-13.463971981573554,-90.33673089756553
0.180148,-93.45140838623047,17.872577667236328,3.137586470910783,-29.029308010362183,21.1812003804168,-21.45070427713987,-88.13312305257632
0.190008,-93.8146743774414,17.45591163635254,3.1360705093891164,-29.31311944584914,20.684143608852878,-29.682847830905683,-92.61504285996587
0.20112,-94.1709213256836,16.953094482421875,3.1345219448221,-30.499417436748217,19.04063617000773,-38.15132617523769,-93.33089063263901
0.211146,-94.54813385009766,16.372652053833008,3.1331108528082376,-33.55588610919391,15.609217432885023,-45.94878966003473,-70.28731211366787
0.220167,-94.91985321044922,15.7355318069458,3.131880384049882,-33.5036590677054,10.705233816369663,-52.82190656898101,-94.27478619109267
0.230046,-95.23431396484375,15.056093215942383,3.130882206261051,-32.33035209660768,8.04742962539928,-58.444050425777355,-88.41389865683762
0.24007700000000004,-95.56784057617188,14.359526634216309,3.130310994726707,-35.89750376801147,4.201072627330069,-61.77685489166342,-94.83128299770627
0.250977,-95.91313171386719,13.692036628723145,3.130217031827435,-35.13000907135548,-5.384764901060789,-62.51648924669493,-94.99672727980385
0.259993,-96.12305450439453,13.102710723876953,3.1307675625249884,-30.28558470440263,-18.335733326905732,-59.6209261707164,-15.179744573388104
0.270297,-96.24906158447266,12.629663467407227,3.131924081854673,-28.08229032910887,-25.92444915519425,-53.320595755756564,-96.03302977004122
0.280345,-96.43850708007812,12.283034324645996,3.133563007504868,-30.19800460377014,-26.606288157016404,-44.368919093686586,-95.34932388081798
0.291062,-96.73501586914062,12.068707466125488,3.1355065837765546,-34.23715991286224,-24.66364575328138,-33.73250797094126,-88.98368066920565
0.300128,-97.06907653808594,11.986807823181152,3.137521390507805,-35.03489868716305,-23.648338133158983,-22.64305893828546,-96.34334460620379
0.311138,-97.3873062133789,12.02232837677002,3.139406722644022,-36.639955576075614,-23.18404577904361,-12.197255343386745,-96.3193046862693
0.321123,-97.70671844482422,12.147891998291016,3.141016835359285,-35.6984481499352,-21.70735034275039,-3.2235359533178443,-96.76342270079215
0.330127,-97.94998168945312,12.330595970153809,-3.140851034584599,-29.224245024368933,-16.15171033035516,4.162056025470018,-94.87594331199385
0.341099,-98.15960693359375,12.53402328491211,-3.139919300117949,-28.06543000714269,-4.6993460263399,9.411168246972476,-97.09526944738019
0.350081,-98.56269836425781,12.725101470947266,-3.139317220425309,-37.46056865390679,10.623686480321588,12.849908946885435,-97.61492196361033
0.36008,-99.22637939453125,12.86467456817627,-3.139494882110389,-49.288929749089384,23.537169974227854,11.9263785786405,-97.27860971720789
0.371192,-100.04407501220703,12.87038803100586,-3.1409524670186695,-62.08426121563818,28.66546041818102,3.6696160348982,-89.1962089460105
0.380205,-101.00304412841797,12.689597129821777,3.140150946370277,-77.83895314010802,29.037371048677382,-8.343234873068779,-99.0008640419179
0.391101,-101.908935546875,12.354829788208008,3.138174975380415,-71.31229074662146,30.32081823523614,-19.955736377269574,-92.70297030772856
0.401039,-102.52361297607422,11.918529510498047,3.136951334704932,-62.33322161088515,42.4585425035907,-27.26409343069658,-41.06752238352896
0.411177,-103.15484619140625,11.471111297607422,3.1367599974202887,-63.402235008451356,47.40523529298615,-28.562850486279917,-102.83029258693936
0.421114,-103.76021575927734,11.128177642822266,3.13678546652999,-55.561970143220435,31.14682716251163,-28.579055110085772,-102.73338050218949
0.430126,-104.03010559082031,10.959033966064453,3.137770130180015,-39.43608475811709,8.198115551320809,-22.784208212578356,-103.0562894925595
0.441142,-104.09459686279297,11.053072929382324,3.1399133789130182,-32.28112692325941,-15.859342375385475,-10.015507653603436,-102.85274031002926
