Time [Sec],Roll Angle [Deg],Pitch Angle [Deg],Phase Angle,Angular Velocity X [deg/s],Angular Velocity Y [deg/s],Angular Velocity Z [deg/s],EKF Roll Angle [Deg]
0.0,0,0,0.0,0.0,0.0,0.0,0.0
0.0,-89.35151672363281,-17.47224235534668,-3.1115708566130764,71.8205251227621,-3.7437846322085453,153.74172523543584,-88.47543642180902
0.010754,-87.95014190673828,-14.323628425598145,-3.10966885090474,66.61720505077635,16.494852204067435,160.92420190245952,-87.10125433139365
0.019786,-87.94751739501953,-14.068867683410645,-3.109788553154687,60.24833368749543,33.662618060259106,160.3156047266547,-73.99848967583455
0.030756,-87.3481674194336,-12.524420738220215,-3.1110013998278134,52.867296591110325,41.62126717927927,153.1472528908346,-86.79040974317543
0.039753,-86.8454360961914,-11.096571922302246,-3.111933635337266,47.540244227215204,44.91345934036044,147.62291392785826,-84.30999165175423
0.050802,-86.40473175048828,-9.670404434204102,-3.112197030648984,41.95174929736492,44.33647228003444,145.56867989346355,-81.79493273128386
0.060895,-86.02127838134766,-8.213401794433594,-3.1121145931426577,39.33415101494382,39.44134058868342,145.32932274418962,-82.95347668491593
0.069928,-85.62799072265625,-6.733402252197266,-3.1117679588812215,40.28368391335899,30.59009502816931,146.36700606403298,-80.10780190962747
0.080915,-85.2148208618164,-5.254302978515625,-3.1117056158256324,41.15103256058599,18.51325165098166,145.96541826159293,-81.97260285147938
0.089908,-84.82775115966797,-3.794513702392578,-3.1114218258459556,40.04934012293586,6.146742939301527,146.6829432942811,-48.85952665230079
0.099935,-84.4831771850586,-2.3148508071899414,-3.110915373770292,37.933709518091916,-3.8120852432482035,148.54087769192964,-84.17896443242093
0.110655,-84.14014434814453,-0.807624101638794,-3.110287164983474,38.12100355041742,-12.726997985223763,150.96917386640925,-25.868482665307393
0.119693,-83.7518539428711,0.6899451613426208,-3.11026323887064,39.33232735443543,-20.197735102205005,150.38740567366423,-83.5213751405501
0.130179,-83.32559204101562,2.112703561782837,-3.110870262218283,40.818156461196246,-25.38753652227601,146.72115137249816,-81.37702141044507
0.140079,-82.85765075683594,3.4467740058898926,-3.111720499573024,43.26326514631785,-31.5524925878862,141.85707313620858,-81.75160549594167
