Time [Sec],Roll Angle [Deg],Pitch Angle [Deg],Phase Angle,Angular Velocity X [deg/s],Angular Velocity Y [deg/s],Angular Velocity Z [deg/s],EKF Roll Angle [Deg]
0.0,0,0,0.0,0.0,0.0,0.0,0.0
0.0,-100.2276840209961,15.562291145324707,-3.13834021010143,9.820889950940384,13.67188123236145,18.6776235684526,-99.24496427668772
0.010059,-100.10424041748047,15.9683198928833,-3.136755730391812,12.8089414722437,15.228494150812049,27.742633559420597,-98.99309493783397
0.019238,-100.02670288085938,16.32536506652832,-3.1350468896174375,14.04186574951187,13.050355362231446,37.51501550687555,-67.37409958771883
0.029879,-99.93988800048828,16.876455307006836,-3.1331544608615753,14.174132362789168,14.67525736577748,48.31936732093315,-99.33397630966063
0.039904,-99.79720306396484,17.51846694946289,-3.1316009620762677,22.73957463389962,14.754426088447097,57.13397916183389,-98.76762210356686
0.04998,-99.42051696777344,18.212360382080078,-3.1309134627748376,31.77996179290972,-3.3191075887226593,60.83499912587534,-2.4808168502666996
0.059981,-98.89852905273438,18.94806671142578,-3.130102744833018,36.09065468755026,-15.258027888783184,65.11006916889968,-98.55369154124396
0.069992,-98.40786743164062,19.741809844970703,-3.1290235991693423,37.592353738847606,-20.714565271416113,70.87252901691019,-97.35799883816027
0.07999,-97.87451171875,20.584749221801758,-3.1282438541505018,44.387910434673806,-26.695799493636716,74.86179662430452,-96.9665219977816
0.09002,-97.23957061767578,21.44410514831543,-3.1274810312105847,48.24449137215688,-27.186632255319463,78.62695206465239,-96.2968538077478
0.100058,-96.6554183959961,22.320358276367188,-3.126702812739298,49.55190569251321,-22.19615112315506,82.46525200082192,-79.9475817510301
0.110048,-96.14144897460938,23.217056274414062,-3.125893710275085,49.94454253204598,-14.72823402052739,86.48472270472604,-55.48353535198097
0.119045,-95.69210815429688,24.14442253112793,-3.1250017471106806,48.94274502610187,-6.2817262603211965,90.97220480074861,-91.9356308259637
0.130266,-95.3009262084961,25.10353660583496,-3.124204587985341,48.7413432380457,1.911680089010301,94.95433486046028,-94.51626550427348
0.140269,-94.93934631347656,26.07411766052246,-3.1236691859170733,48.16286378138606,8.55832436022165,97.50736394956266,-94.11958608415001
0.150256,-94.61473083496094,27.03392219543457,-3.1234346504115593,46.648245427273636,13.301387012344216,98.44580462076573,-93.47725790999425
0.160266,-94.3297119140625,27.966880798339844,-3.123490913126333,44.68815530530381,16.798430207012405,97.84506216250644,-92.93078699972048
0.169913,-94.0672836303711,28.865697860717773,-3.123706677389241,43.338346000769214,18.52770091617082,96.40958179521236,-93.14404284636773
0.180198,-93.79498291015625,29.747325897216797,-3.123779890436746,42.223570335763924,17.178311668270176,95.73692427518199,-92.87191431149238
0.189212,-93.51174926757812,30.6390438079834,-3.123688730816587,39.30351420142173,13.163440242998409,95.93639994989222,-79.51054421279177
0.200057,-93.2128677368164,31.529800415039062,-3.123858386668441,36.15783301313192,4.718089346082885,94.72339933443297,-92.1743351492159
0.210056,-92.83000183105469,32.38456726074219,-3.1242634885228022,35.04609678230729,-6.105346870289372,92.179024095009,-78.52693120005691
0.219119,-92.3365478515625,33.208255767822266,-3.124446444950896,37.819215057034995,-12.294599199437766,90.72081285815712,-91.79247162832498
0.229985,-91.78311920166016,34.047264099121094,-3.1240262789159994,42.718451692077196,-11.011116154385867,92.38729705337019,-2.1835902195381136
0.239766,-91.26412200927734,34.934635162353516,-3.1233462876639417,43.556990601385074,-7.527294498403531,95.42173153555342,-91.08179766404005
0.250188,-90.82331085205078,35.834716796875,-3.123113079600522,40.7717931371102,-7.435232939901868,96.17481453306068,-88.06281986394877
