Time [Sec],Roll Angle [Deg],Pitch Angle [Deg],Phase Angle,Angular Velocity X [deg/s],Angular Velocity Y [deg/s],Angular Velocity Z [deg/s],EKF Roll Angle [Deg]
0.0,0,0,0.0,0.0,0.0,0.0,0.0
0.0,-107.42594146728516,12.600913047790527,3.1415905347764914,-9.057546301752467,29.038402407242057,-0.013041408287996298,-106.37264372063962
0.009839,-107.69727325439453,12.472367286682129,-3.1410443766493272,-6.474874191652225,24.426004689036418,3.383197601582416,-99.7561709429343
0.019842,-107.58533477783203,12.662765502929688,-3.140722674273744,-4.34654327693347,20.60354396155214,5.362715342872695,-105.80314004277199
0.029119,-107.61911010742188,12.696126937866211,-3.1406123889289117,-1.8685698559598847,18.11556217901037,6.044432255063437,-105.33140717128856
0.039849,-107.61785888671875,12.717811584472656,-3.1406369584061715,0.9964929035582433,15.935743163893944,5.892865234738976,-98.79969534316483
0.050107,-107.5808334350586,12.729695320129395,-3.140738670612953,3.749807578396027,14.078293709676487,5.26389061643225,-105.2605899202931
0.059643,-107.51659393310547,12.739106178283691,-3.140790736199787,6.105326379721862,11.82127904278693,4.940010303066239,-106.38779129313852
0.069719,-107.43419647216797,12.773717880249023,-3.1404771439640724,8.145868019264798,10.690990310629248,6.866551389606606,-106.31008652660286
0.080109,-107.33244323730469,12.878384590148926,-3.139560221336334,11.272539083547167,11.04844484574728,12.49885771411429,-106.32120722985972
0.089633,-107.15184783935547,13.08364486694336,-3.138236184603706,19.769250014813423,13.493790026168892,20.606610716489477,-105.96651891224175
0.099989,-106.8097152709961,13.382366180419922,-3.1368860059888415,32.018509564767,14.465365652582987,28.80370003188749,-105.14399498913697
0.109579,-106.30394744873047,13.78541374206543,-3.1353356265767847,44.373625094024725,11.640775072270063,38.11059434212232,-105.24431582706198
0.119469,-105.65982818603516,14.361146926879883,-3.1329452410463343,57.38293955708085,7.447556308711864,52.351549006882664,-104.62035402227119
0.130127,-104.91314697265625,15.195706367492676,-3.129519276317367,67.57795311980868,3.8468854839562416,72.57756962998798,-68.17492467435191
0.139683,-104.14891815185547,16.295909881591797,-3.1260497578884157,73.00595226454202,-0.6718890170270335,92.7564892685769,-103.05888609877576
0.149989,-103.45370483398438,17.59012794494629,-3.1228258174729535,70.82240908878063,-4.802049446455267,111.25274399380898,-102.5434667740201
0.159012,-102.90299224853516,19.038148880004883,-3.1196859545665827,65.97772858973391,-3.0737953682661274,129.18052890461007,-86.82002611393213
0.170014,-102.50788879394531,20.601058959960938,-3.117083552659461,57.68019621994898,0.8798727062047117,143.97738242063397,-98.70517620195336
0.180127,-102.29068756103516,22.20693588256836,-3.1153745921813774,47.736642901704336,6.888078438323194,153.6946788924328,-101.3961855074864
0.19003,-102.21387481689453,23.779897689819336,-3.1144355956791303,42.18854854079468,18.666737954462892,159.08234577011717,-101.28587009158778
0.200036,-102.15140533447266,25.252880096435547,-3.1145163889414267,46.20146226309559,33.42184706182699,158.51190203101606,-37.542133745491114
0.210123,-102.01712036132812,26.55808448791504,-3.115587540705073,52.69215688041286,48.657676835807635,152.03807115075955,-101.50258139400884
0.219591,-101.91117095947266,27.692142486572266,-3.1169133581553607,54.333348885129375,61.31949859465019,144.13364348846554,-92.22210604579634
0.230114,-101.96334838867188,28.737171173095703,-3.117853984495557,47.71182199426051,69.12126168352975,138.70901162699303,-101.27446537362184
0.239466,-102.23140716552734,29.775653839111328,-3.1183017511123,35.90200827776909,71.46441271981598,136.44946210614776,-101.29360480410682
0.24978399999999998,-102.68968963623047,30.854808807373047,-3.1182664156083195,21.348589533953596,69.2799816194625,137.26915310844097,-100.30626581089469
0.260023,-103.28144836425781,31.994033813476562,-3.117934303344221,9.982166085170018,65.65601301944797,140.02656877826684,-102.14602653926119
0.269852,-103.93090057373047,33.17278289794922,-3.1177032926095327,1.4688026190987407,61.73589424721085,142.28348184609249,-102.78139829971158
0.2792720000000001,-104.56169128417969,34.35361099243164,-3.1179069967553485,-2.956767760800775,52.13562623665105,141.92597608455569,-98.784960079309
0.289882,-105.03516387939453,35.52199935913086,-3.1184864302316226,-2.9733877454855318,37.52038062046859,139.07965867249294,-96.17058220855995
0.300185,-105.31157684326172,36.65305709838867,-3.1196829839967375,-3.7101361321493007,19.200237200343416,132.2221077646651,-104.17533644930883
0.309701,-105.42732238769531,37.712623596191406,-3.1212736795409026,-6.375655448674035,-1.7225426526608334,122.75448202778696,-104.1167362391367
