Time [Sec],Roll Angle [Deg],Pitch Angle [Deg],Phase Angle,Angular Velocity [deg/s]
0.0,0,0,0.0,0
0.0,88.39464569091797,3.244213819503784,3.124966412445042e-05,-0.002762302989140153
0.000822,88.39442443847656,3.2443623542785645,2.3996765735076657e-05,-0.002121180295944214
0.040486,88.39529418945312,3.2438645362854004,5.7483777067125225e-06,-0.0005081295385025442
0.041773,88.39698791503906,3.243471384048462,1.0792752215814798e-05,-0.0009540467872284353
0.043088,88.39793395996094,3.2433738708496094,1.0366999539568553e-06,-9.164213406620547e-05
0.044246,88.39898681640625,3.2437946796417236,1.66755007500964e-05,-0.0014740973711013794
0.080447,88.39826965332031,3.242917060852051,2.3999936117381194e-05,-0.00212155282497406
0.081343,88.39811706542969,3.2434561252593994,2.0763458624861806e-05,-0.0018354506464675069
0.082187,88.39777374267578,3.2442665100097656,3.6802920608373026e-05,-0.003253296250477433
0.083095,88.39630889892578,3.244158983230591,4.10641983640223e-05,-0.00362992356531322
0.120606,88.3963623046875,3.2441914081573486,2.0523655546573788e-05,-0.001814216491766274
0.121829,88.3981704711914,3.2433431148529053,1.1428956503612891e-05,-0.001010298845358193
0.123115,88.39794158935547,3.2438697814941406,3.982866338189281e-05,-0.003520771861076355
0.124147,88.39634704589844,3.242877721786499,2.8703623387273886e-05,-0.0025372954551130533
0.16048200000000004,88.39730072021484,3.2419888973236084,1.7168884369186978e-05,-0.0015176830347627401
0.161378,88.39786529541016,3.2421438694000244,2.8639914297500158e-05,-0.002531707286834717
0.162196,88.39725494384766,3.242539405822754,2.7455904941616092e-05,-0.002427026629447937
0.163112,88.39705657958984,3.2410566806793213,3.0266887019705884e-05,-0.0026755037251859903
0.200739,88.39723205566406,3.2416346073150635,1.8614391948431446e-05,-0.0016454607248306274
0.201861,88.39793395996094,3.2417030334472656,2.326253739495152e-05,-0.0020563602447509766
0.203087,88.39755249023438,3.2408785820007324,2.9461796241695236e-05,-0.0026043506804853678
0.204186,88.3979721069336,3.241692543029785,1.1875690102965572e-05,-0.0010497869225218892
0.240458,88.39730072021484,3.2429957389831543,5.5813632610520726e-05,-0.004933774471282959
0.24128,88.39469909667969,3.243173599243164,3.2442310084485126e-05,-0.002867728238925338
0.242121,88.39607238769531,3.242393970489502,2.303545683205269e-05,-0.002036243909969926
0.243027,88.39677429199219,3.2422640323638916,2.1749914950315013e-05,-0.0019226223230361938
0.280483,88.39666748046875,3.2422707080841064,3.072637502260973e-05,-0.0027161091566085815
0.281743,88.39671325683594,3.242676019668579,1.7354429686716587e-05,-0.0015340745449066162
0.282875,88.39669799804688,3.2426505088806152,3.9567940561631274e-05,-0.0034976752940565348
0.284021,88.39423370361328,3.2420313358306885,5.172760238237489e-05,-0.004572421777993441
0.320471,88.3945541381836,3.2431769371032715,4.842333202163425e-06,-0.0004280358843971044
0.32135,88.3978271484375,3.244649648666382,7.72468755518766e-06,-0.000682845595292747
0.322183,88.39877319335938,3.2444651126861572,6.064216216774017e-06,-0.0005360692739486694
0.323096,88.39904022216797,3.243906021118164,2.145015232378184e-05,-0.001896172878332436
0.360679,88.39783477783203,3.243107318878174,3.145081727185755e-05,-0.0027801841497421265
0.361907,88.39631652832031,3.2427361011505127,4.722128636419651e-05,-0.004174187779426575
0.363138,88.396240234375,3.2445971965789795,1.3169714176930968e-05,-0.0011641532182693481
0.364276,88.39908599853516,3.2433412075042725,5.811345044543656e-06,-0.0005137175903655589
0.400758,88.3995590209961,3.243129253387451,2.394059059140635e-05,-0.002116337651386857
0.401909,88.39826202392578,3.2446601390838623,2.905278118672285e-05,-0.002568215364590287
0.403093,88.3968734741211,3.244889259338379,5.0457549340901776e-05,-0.004460289608687162
0.404236,88.39563751220703,3.2451388835906982,3.0208366922246008e-05,-0.0026702878531068563
0.440687,88.39630889892578,3.24501895904541,3.078970897582354e-05,-0.002721696626394987
0.441895,88.39653778076172,3.2448036670684814,1.9647040263351318e-05,-0.0017367303371429443
0.443153,88.39651489257812,3.2446188926696777,3.9066518732259636e-05,-0.0034533441066741943
0.444416,88.39580535888672,3.2442100048065186,2.1602653150304388e-05,-0.001909583923406899
0.480417,88.396728515625,3.24548602104187,2.4093068815800495e-05,-0.0021297484636306763
0.481309,88.39703369140625,3.2463738918304443,1.77041525635244e-05,-0.001564994570799172
0.482158,88.39810943603516,3.2473793029785156,9.932915840939047e-06,-0.0008780509815551341
0.483038,88.39895629882812,3.2481026649475098,1.7176993813940182e-05,-0.0015184283256530762
0.520388,88.39828491210938,3.2485849857330322,3.1404303432945395e-05,-0.002776086563244462
0.521209,88.39801788330078,3.2476186752319336,1.629218916604256e-05,-0.001440197229385376
0.521992,88.39960479736328,3.2463204860687256,1.1445626338911557e-05,-0.0010117888450622559
0.522868,88.39989471435547,3.246438980102539,2.4572617191626428e-05,-0.002172216773033142
0.560405,88.39972686767578,3.2472338676452637,1.7046205672530157e-05,-0.0015068799257278442
0.561304,88.40030670166016,3.2474377155303955,2.1647911038649985e-05,-0.0019136819755658507
0.562185,88.39908599853516,3.2479114532470703,4.2550506064959656e-05,-0.0037614258471876383
0.563049,88.39800262451172,3.2482447624206543,2.5892203323616602e-05,-0.002288819057866931
0.600677,88.39864349365234,3.2481184005737305,3.2714790365562364e-05,-0.0028919430915266275
0.601937,88.39862823486328,3.2494781017303467,1.797775455214449e-05,-0.0015892088413238525
0.603111,88.3992691040039,3.249664306640625,2.628374173413177e-05,-0.002323463559150696
0.604423,88.39945983886719,3.247735023498535,1.3851930272976302e-05,-0.0012245031539350748
0.640452,88.3992919921875,3.248202085494995,3.9891272665695904e-05,-0.003526360262185335
0.641266,88.39747619628906,3.2484004497528076,3.6828324717035724e-05,-0.003255530958995223
0.642042,88.39827728271484,3.2484586238861084,1.151322692245673e-05,-0.0010177494259551167
0.642904,88.40068817138672,3.247933864593506,3.152144504662939e-06,-0.00027865174342878163
0.680369,88.401123046875,3.2462213039398193,2.4551205376621796e-05,-0.002170354127883911
