Time [Sec],Roll Angle [Deg],Pitch Angle [Deg],Phase Angle,Angular Velocity [deg/s]
0.0,0,0,0.0,0
0.0,88.15676879882812,3.3289735317230225,8.493769536174767e-07,-7.487832772312686e-05
0.000845,88.15827178955078,3.3285000324249268,2.411175492374367e-05,-0.002125650644302368
0.039716,88.15648651123047,3.328902006149292,3.183695064293882e-05,-0.002806633710861206
0.040855,88.15564727783203,3.328958749771118,3.662087874553754e-05,-0.0032283372711390257
0.042302,88.1550521850586,3.3299624919891357,3.131345936704719e-05,-0.002760439645498991
0.043617,88.1541976928711,3.3290152549743652,4.9248401368737935e-05,-0.004341453313827515
0.079516,88.15306091308594,3.32861328125,3.1356433965563215e-05,-0.002764165634289384
0.080634,88.15447998046875,3.3286592960357666,1.6134356826158636e-05,-0.0014223158359527588
0.08189300000000001,88.1551513671875,3.3298680782318115,2.854973667170737e-05,-0.002516806358471513
0.083025,88.155029296875,3.329348564147949,1.705549068182389e-05,-0.0015035272808745503
0.119427,88.15534973144531,3.328101396560669,3.32826010606884e-05,-0.0029340393375605345
0.120362,88.15486907958984,3.3283824920654297,1.893602379976843e-05,-0.0016693026991561055
0.121229,88.15576934814453,3.3290629386901855,2.201221463443831e-05,-0.001940503716468811
0.122063,88.1556396484375,3.3286080360412598,2.6825445204948884e-05,-0.002364814281463623
0.159491,88.15507507324219,3.328144073486328,3.36925977966756e-05,-0.0029701734893023968
0.16049,88.15425109863281,3.3279082775115967,3.744127097401123e-05,-0.003300607204437256
0.161586,88.15361022949219,3.327526807785034,3.7834560518063026e-05,-0.0033352531027048826
0.163037,88.15402221679688,3.3287293910980225,1.8183994995644394e-05,-0.0016029922990128398
0.199582,88.155517578125,3.330143690109253,1.6687750189177233e-05,-0.0014711172552779317
0.20082,88.15496826171875,3.330282211303711,3.823542480780941e-05,-0.00337064266204834
0.202059,88.15426635742188,3.3299026489257812,2.025885520779363e-05,-0.001785904518328607
0.203082,88.15516662597656,3.3296427726745605,2.7666529950861066e-05,-0.002438947558403015
0.239413,88.155029296875,3.330491304397583,2.2312436690005706e-05,-0.0019669535104185343
0.240308,88.15616607666016,3.330718517303467,6.511936452646798e-06,-0.0005740673514083028
0.241191,88.1577377319336,3.3308279514312744,1.1502383814513677e-05,-0.0010140241356566548
0.242009,88.15715026855469,3.3306143283843994,3.6337127302099514e-05,-0.003203377593308687
0.279502,88.1559066772461,3.331125259399414,2.8422710205715564e-05,-0.002505629789084196
0.280845,88.15591430664062,3.3300187587738037,3.474873430916441e-05,-0.0030633064452558756
0.282005,88.15689849853516,3.3300154209136963,5.15541563431537e-07,-4.544854527921416e-05
0.283004,88.15789031982422,3.331461191177368,4.2316186209984504e-05,-0.0037305057048797607
0.319438,88.15511322021484,3.3316521644592285,4.1556868836945545e-05,-0.0036634504795074463
0.320357,88.15558624267578,3.332021713256836,1.8327352667473095e-05,-0.001615658518858254
0.321202,88.1569595336914,3.3316285610198975,2.4445950512142462e-05,-0.002155080670490861
0.322008,88.15752410888672,3.331279754638672,6.642832144268059e-06,-0.0005856156349182129
0.359581,88.15831756591797,3.3311169147491455,2.7555676003303773e-05,-0.002429262036457658
0.360866,88.1576156616211,3.330728769302368,2.1906110730425266e-05,-0.0019311904907226562
0.362211,88.15847778320312,3.330085515975952,1.7380199138318597e-05,-0.0015322118997573853
