Time [Sec],Roll Angle [Deg],Pitch Angle [Deg],Phase Angle,Angular Velocity [deg/s]
0.0,0,0,0.0,0
0.0,88.19097900390625,3.19814133644104,2.6603490015842687e-05,-0.0023461878299713135
0.000828,88.19210815429688,3.1991794109344482,5.1913738809789415e-06,-0.0004578382067847997
0.040709,88.19369506835938,3.1992154121398926,1.4488275735500378e-05,-0.0012777745723724365
0.042027,88.19319152832031,3.1983087062835693,2.756589980316595e-05,-0.0024311246816068888
0.04331,88.1923828125,3.1986303329467773,3.1084783541720766e-05,-0.0027414411306381226
0.044466,88.19236755371094,3.1992974281311035,2.393347112968717e-05,-0.0021107494831085205
0.079521,88.19305419921875,3.199225664138794,2.012322206637837e-05,-0.0017747284146025777
0.080441,88.19337463378906,3.198928117752075,2.4169744610031045e-05,-0.002131611341610551
0.081295,88.19327545166016,3.198110342025757,2.582135860258977e-05,-0.0022772701922804117
0.082151,88.1939468383789,3.197783946990967,1.0935872029953141e-05,-0.0009644777164794505
0.119756,88.19363403320312,3.198274850845337,4.533608483685477e-05,-0.003998354077339172
0.120735,88.1922607421875,3.1975338459014893,2.0845719293271254e-05,-0.00183843111153692
0.121651,88.19422149658203,3.1970911026000977,1.551883727454182e-05,-0.001368671772070229
0.12309,88.19523620605469,3.196453332901001,1.2152199839071111e-05,-0.0010717661352828145
0.1611,88.19547271728516,3.1975698471069336,2.473939639950506e-05,-0.0021819027606397867
0.162986,88.19532775878906,3.199005126953125,1.8889320597915777e-05,-0.001665949821472168
0.164738,88.19486236572266,3.1984522342681885,4.213794015535575e-05,-0.003716349834576249
0.166516,88.19397735595703,3.1975667476654053,2.001741077035186e-05,-0.001765415072441101
0.20045,88.19540405273438,3.1977717876434326,2.159683147904746e-05,-0.0019047412788495421
0.201339,88.19541931152344,3.1974334716796875,2.7413140296508203e-05,-0.0024177134037017822
0.202186,88.19410705566406,3.1962740421295166,4.6083483901930766e-05,-0.004064291715621948
0.202978,88.19310760498047,3.1957690715789795,2.824176583101579e-05,-0.0024907290935516357
0.239867,88.19428253173828,3.196225643157959,2.1178934177998574e-05,-0.0018678609048947692
0.241257,88.1950912475586,3.195786237716675,1.778270415396349e-05,-0.0015683472156524658
