Time [Sec],Roll Angle [Deg],Pitch Angle [Deg],Phase Angle,Angular Velocity [deg/s]
0.0,0,0,0.0,0
0.0,88.2928237915039,3.263767719268799,1.4488886338296075e-05,-0.0012792646884918213
0.000861,88.29371643066406,3.2638309001922607,2.0868170726147555e-05,-0.001842528348788619
0.040983,88.2948226928711,3.2630765438079834,8.564872200855261e-06,-0.0007562338723801076
0.042335,88.2961196899414,3.2626302242279053,1.2450523738178466e-05,-0.0010993329342454672
0.04364,88.29532623291016,3.261573314666748,3.9499452091462495e-05,-0.0034876170102506876
0.045014,88.29241943359375,3.261674165725708,6.050846544671172e-05,-0.005342438817024231
0.07969,88.29065704345703,3.261829376220703,4.049308783092169e-05,-0.0035751613322645426
0.080928,88.29167175292969,3.262147903442383,2.67039482040148e-05,-0.0023577362298965454
0.082109,88.29338836669922,3.2619478702545166,5.590462176802202e-06,-0.0004936008481308818
0.083255,88.29535675048828,3.2619428634643555,9.830558816067368e-06,-0.0008679926977492869
0.119448,88.29497528076172,3.2618212699890137,2.9875743791400298e-05,-0.0026378780603408813
0.120373,88.29410552978516,3.2610535621643066,2.5382610339123966e-05,-0.002241134876385331
0.121206,88.29491424560547,3.260986089706421,1.6526391566914436e-05,-0.0014591963263228536
0.12208,88.29570007324219,3.2610599994659424,1.936570367274055e-05,-0.0017099083634093404
0.159515,88.2959213256836,3.261568307876587,1.747127941217135e-05,-0.0015426427125930786
0.160427,88.29641723632812,3.260721445083618,1.9715728120500203e-05,-0.0017408281564712524
0.161894,88.29639434814453,3.25911545753479,2.5837609736080355e-05,-0.002281367778778076
0.163143,88.29667663574219,3.2603759765625,1.511689677941471e-05,-0.0013347717467695475
0.199673,88.29806518554688,3.260401725769043,1.255572822405172e-05,-0.0011086465092375875
0.20087,88.29908752441406,3.259718894958496,1.0057966511663867e-05,-0.0008881092653609812
0.202062,88.29873657226562,3.2609505653381348,3.4781124170447366e-05,-0.003071129322052002
0.203257,88.29766082763672,3.261089324951172,2.1618229520334354e-05,-0.0019088390981778502
0.239473,88.29931640625,3.259883165359497,8.450526406555563e-06,-0.0007461757049895823
0.240381,88.29996490478516,3.260464906692505,2.6612843190242975e-05,-0.0023499131202697754
0.241191,88.2985610961914,3.2617597579956055,3.504277210243245e-05,-0.0030942263547331095
0.242162,88.29766082763672,3.2612123489379883,3.6334147545730775e-05,-0.003208220237866044
0.279583,88.29696655273438,3.259896993637085,3.945231142074605e-05,-0.003483519423753023
0.280843,88.29612731933594,3.259707450866699,3.854135837297044e-05,-0.0034030526876449585
0.282165,88.29553985595703,3.259840726852417,3.786233993842354e-05,-0.0033430757466703653
0.283168,88.29502868652344,3.2610208988189697,3.613693641873938e-05,-0.0031907118391245604
0.31946,88.29485321044922,3.2608699798583984,3.191785259682514e-05,-0.002818182110786438
0.32123699999999994,88.2957763671875,3.261200189590454,1.2594024309925334e-05,-0.0011119991540908813
0.322329,88.29654693603516,3.26077938079834,3.130547038149648e-05,-0.002764164935797453
0.323611,88.29518127441406,3.2586653232574463,3.417919669615382e-05,-0.0030178583692759275
0.359464,88.29527282714844,3.259265899658203,2.2795949503222915e-05,-0.002012774581089616
0.360347,88.2961196899414,3.2609214782714844,2.2247249525613177e-05,-0.001964345807209611
0.361169,88.29684448242188,3.261756420135498,1.2349168230318471e-05,-0.001090392586775124
0.362099,88.29654693603516,3.2621703147888184,4.175610674499557e-05,-0.0036869200412184
0.399701,88.29547882080078,3.263232707977295,1.867381687423934e-05,-0.001648813602514565
0.401019,88.29737854003906,3.262826681137085,1.3344779969527653e-05,-0.0011783090885728598
0.402371,88.29893493652344,3.263225793838501,2.404803038280967e-07,-2.123415470123291e-05
0.403664,88.30028533935547,3.26308012008667,1.1344591625937641e-05,-0.0010017306776717305
0.439458,88.3005599975586,3.2620041370391846,8.572754769137449e-06,-0.0007569790468551219
0.440285,88.30016326904297,3.2627036571502686,3.7168456205836095e-05,-0.0032819807529449463
0.441064,88.29896545410156,3.26259446144104,2.309032013569478e-05,-0.0020388513803482056
0.442008,88.29962921142578,3.2619495391845703,2.5621500914510816e-05,-0.002262369031086564
0.479652,88.29869842529297,3.2614588737487793,4.157789018968203e-05,-0.0036712735891342163
0.481035,88.29804992675781,3.262101888656616,2.4997547919126782e-05,-0.0022072347346693277
0.482472,88.29952239990234,3.262714147567749,1.280443756893948e-05,-0.0011306257219985127
0.483743,88.30044555664062,3.262171983718872,2.0288596427697147e-05,-0.0017914921045303345
0.519409,88.30052947998047,3.262286424636841,1.753365210169495e-05,-0.0015482307644560933
